GradientNorms,TimeTaken,FunctionValues
32518369557.03958,0.00148773193359375,7707074630.383734
1.7700622109917614e+21,0.003473997116088867,2.283120742056206e+31
8.859043325124784e+20,0.0054700374603271484,5.719070769092922e+30
4.429521662587871e+20,0.007440090179443359,1.4297677013987758e+30
2.2147608313444594e+20,0.008928298950195312,3.5744193445732236e+29
1.107380415773161e+20,0.010917186737060547,8.936049270417178e+28
5.536902080880594e+19,0.011905908584594727,2.2340132248117893e+28
2.7684510444621124e+19,0.01339268684387207,5.585042116371928e+27
1.3842255302587865e+19,0.01488041877746582,1.3962695657374284e+27
6.921127811535361e+18,0.016368865966796875,3.4907641041568344e+26
3.460564225623819e+18,0.017856359481811523,8.727810395659706e+25
1.7302827512736945e+18,0.01978468894958496,2.1828509747643623e+25
8.651426500630784e+17,0.02127218246459961,5.466093635610805e+24
4.325738688923938e+17,0.02275991439819336,1.3754720821263893e+24
2.1629201214910205e+17,0.024743318557739258,3.5279920250470003e+23
1.0815614104364762e+17,0.0260012149810791,9.711352541074967e+22
5.4098296175950296e+16,0.027286291122436523,3.317468255788557e+22
2.708948325402888e+16,0.028809785842895508,1.7172580269730652e+22
1.3624961159966862e+16,0.02996659278869629,1.3154688933706368e+22
6970340338706498.0,0.03095841407775879,1.2132851685814929e+22
3784148291950639.5,0.031951189041137695,1.1859932323062928e+22
2399224102879869.5,0.032446861267089844,1.1773764788853045e+22
1907011626411451.0,0.03343939781188965,1.1732344254709193e+22
1780599938179234.0,0.03443026542663574,1.1694922343788436e+22
1767793002692875.5,0.03542327880859375,1.1643013560889848e+22
1761527722964231.8,0.036414384841918945,1.1561376303825098e+22
1751832680147792.2,0.037903547286987305,1.1431120686777532e+22
1740318614602276.0,0.0388946533203125,1.1223576821150857e+22
1908462393860414.2,0.03988766670227051,1.0899914466075278e+22
5131405354421251.0,0.040879249572753906,1.0781476449535136e+22
1790532271339014.0,0.04187154769897461,1.056638873630377e+22
1706217090530352.0,0.04286384582519531,1.054242003481452e+22
1682983006558077.5,0.043854475021362305,1.0515445347498682e+22
1676719897378268.8,0.04484724998474121,1.0476132055396517e+22
1671776354997913.8,0.045839548110961914,1.0414513132557916e+22
1663872837584132.0,0.04683065414428711,1.031626266961351e+22
1651198104184837.2,0.04732704162597656,1.0159400843095006e+22
1631595782074051.2,0.048319101333618164,9.9102475920317e+21
1666177887883746.2,0.04931044578552246,9.520164468660942e+21
7194369043901406.0,0.05030345916748047,9.29485570273329e+21
5618627575424440.0,0.05129432678222656,9.086140174908506e+21
3054071014375842.5,0.052286624908447266,8.906339316061155e+21
1993275232578625.5,0.05327892303466797,8.849357334564831e+21
1627835560067347.5,0.05427145957946777,8.819745120610083e+21
1540059411425867.5,0.055262088775634766,8.790633670016568e+21
1532447662275086.0,0.05625486373901367,8.749002088592144e+21
1526648917050463.2,0.05724740028381348,8.683203148662929e+21
1517933675686309.8,0.05824112892150879,8.578189133017828e+21
1513759159419221.5,0.05923032760620117,8.4111115737495e+21
1980393883049533.8,0.06022310256958008,8.159004219723215e+21
4316410320507137.0,0.06071972846984863,8.136936153749817e+21
1778264283116335.0,0.0651848316192627,8.000710697076503e+21
