GradientNorms,TimeTaken,FunctionValues
32518369557.03958,0.0009915828704833984,7707074630.383734
8.405870400234964e+20,0.0034706592559814453,5.148932499980871e+30
1.5202272755717466e+17,0.005454540252685547,1.7115123598031033e+23
856799272803338.2,0.007825374603271484,2.7354947711190706e+21
855123603888944.6,0.010325193405151367,2.724806311267286e+21
1075735890996.5903,0.012817144393920898,2.2036294612729936e+17
1054462155571.1738,0.01462864875793457,2.1182472708097597e+17
102845630409.07425,0.016603708267211914,2294831991592236.5
738231695963836.0,0.018090248107910156,3.9715512853717386e+18
289371306753.478,0.01957845687866211,210759316304636.97
17243227250.53094,0.021065711975097656,210146962875412.12
17242739926.367287,0.022553682327270508,210142629634602.38
5873579750.093252,0.024538755416870117,134515057323495.88
5504685673.987471,0.026026248931884766,119319613456167.56
527471418893.72046,0.02751445770263672,62218259543389.61
2795901452564.5938,0.02900242805480957,117152282337204.34
4514450677.344984,0.030490398406982422,60188781675979.93
4512184080.481152,0.031978607177734375,60188484726531.63
3888579658.8813305,0.033466339111328125,60055757323514.836
3882645424.6623926,0.034954071044921875,59942658375348.11
3553218412.8059916,0.03644275665283203,51153277179692.87
1535675124325.4766,0.03792977333068848,58030983467578.414
77607712757.54303,0.03941845893859863,40889675513563.125
3219860536.75664,0.040906429290771484,40845710366304.15
3219759484.965941,0.042394399642944336,40845559271635.836
3190528482.221475,0.04388427734375,40759147550747.34
3183559835.698687,0.04537034034729004,40673586930034.84
3139544391.618207,0.04685854911804199,40072272156867.99
123200568716.81961,0.04834628105163574,34911616308798.27
426741599732.0952,0.049338579177856445,36126755193223.22
4430207941.55547,0.050826311111450195,34799578834262.242
4425212491.2159605,0.05231475830078125,34799292953412.49
2880488301.2641425,0.053802490234375,34695899976190.26
2876912155.006692,0.05529165267944336,34634054498389.758
2837393623.943727,0.05628323554992676,33853705196487.25
4242667671023.4546,0.05826687812805176,161248131891031.7
5186036226.322131,0.059754371643066406,30079635896372.95
2652253331.941463,0.06124234199523926,30079388650856.242
2652248098.7579746,0.0627298355102539,30079286130124.71
2625567306.069796,0.06421828269958496,29053091103952.246
7077287506.979888,0.06521105766296387,28223041379689.887
2575926536.1642737,0.06669855117797852,28010055755851.105
51655201360.289825,0.06818580627441406,27980548384674.934
2827831812.8641214,0.06967401504516602,27961066008446.688
2548455402.4903564,0.07116127014160156,27960960409823.14
2548450723.370899,0.07264971733093262,27960865755830.215
753418315.4550124,0.07413816452026367,2381484267796.194
25341004500.036697,0.07562589645385742,21418652966117.59
334116204049.7917,0.07711386680603027,157878172336895.8
55249754765947.39,0.07860207557678223,2.23080524688841e+16
131042217659.01028,0.08009028434753418,63993503803535.945
117515997714.22432,0.08157777786254883,63767539579042.836
